payload_len,alpha,non_alpha,attack_feature,label
59,96.15384615,3.846153846,0.04,0
60,96.2962963,3.703703704,0.038461538,0
60,96.2962963,3.703703704,0.038461538,0
62,96.2962963,3.703703704,0.038461538,0
62,96.2962963,3.703703704,0.038461538,0
61,96.42857143,3.571428571,0.037037037,0
61,96.42857143,3.571428571,0.037037037,0
61,96.42857143,3.571428571,0.037037037,0
61,96.42857143,3.571428571,0.037037037,0
62,96.55172414,3.448275862,0.035714286,0
253,96.55172414,3.448275862,0.035714286,0
63,96.66666667,3.333333333,0.034482759,0
63,96.66666667,3.333333333,0.034482759,0
63,96.66666667,3.333333333,0.034482759,0
64,96.77419355,3.225806452,0.033333333,0
65,96.875,3.125,0.032258065,0
65,96.875,3.125,0.032258065,0
65,96.875,3.125,0.032258065,0
65,96.875,3.125,0.032258065,0
65,96.875,3.125,0.032258065,0
65,96.875,3.125,0.032258065,0
65,96.875,3.125,0.032258065,0
66,96.96969697,3.03030303,0.03125,0
66,96.96969697,3.03030303,0.03125,0
66,96.96969697,3.03030303,0.03125,0
67,97.05882353,2.941176471,0.03030303,0
72,97.14285714,2.857142857,0.029411765,0
68,97.14285714,2.857142857,0.029411765,0
68,97.14285714,2.857142857,0.029411765,0
70,97.14285714,2.857142857,0.029411765,0
71,97.22222222,2.777777778,0.028571429,0
71,97.22222222,2.777777778,0.028571429,0
70,97.2972973,2.702702703,0.027777778,0
262,97.36842105,2.631578947,0.027027027,0
71,97.36842105,2.631578947,0.027027027,0
243,97.81021898,2.189781022,0.02238806,0
266,98.05194805,1.948051948,0.01986755,0
262,98.05194805,1.948051948,0.01986755,0
267,98.08917197,1.910828025,0.019480519,0
270,98.125,1.875,0.01910828,0
270,98.125,1.875,0.01910828,0
267,98.13664596,1.863354037,0.018987342,0
268,98.14814815,1.851851852,0.018867925,0
280,98.21428571,1.785714286,0.018181818,0
283,98.26589595,1.734104046,0.017647059,0
289,98.36065574,1.639344262,0.016666667,0
233,98.42519685,1.57480315,0.016,0
301,98.42931937,1.570680628,0.015957447,0
231,98.4496124,1.550387597,0.015748031,0
238,98.46153846,1.538461538,0.015625,0
238,98.48484848,1.515151515,0.015384615,0
240,98.48484848,1.515151515,0.015384615,0
237,98.51851852,1.481481481,0.015037594,0
241,98.51851852,1.481481481,0.015037594,0
244,98.52941176,1.470588235,0.014925373,0
248,98.55072464,1.449275362,0.014705882,0
245,98.56115108,1.438848921,0.01459854,0
244,98.57142857,1.428571429,0.014492754,0
248,98.57142857,1.428571429,0.014492754,0
247,98.58156028,1.418439716,0.014388489,0
245,98.58156028,1.418439716,0.014388489,0
248,98.5915493,1.408450704,0.014285714,0
244,98.5915493,1.408450704,0.014285714,0
245,98.6013986,1.398601399,0.014184397,0
249,98.6013986,1.398601399,0.014184397,0
253,98.6013986,1.398601399,0.014184397,0
253,98.6013986,1.398601399,0.014184397,0
245,98.6013986,1.398601399,0.014184397,0
249,98.6013986,1.398601399,0.014184397,0
248,98.61111111,1.388888889,0.014084507,0
250,98.61111111,1.388888889,0.014084507,0
248,98.61111111,1.388888889,0.014084507,0
254,98.61111111,1.388888889,0.014084507,0
248,98.61111111,1.388888889,0.014084507,0
253,98.62068966,1.379310345,0.013986014,0
254,98.63013699,1.369863014,0.013888889,0
256,98.63013699,1.369863014,0.013888889,0
252,98.63013699,1.369863014,0.013888889,0
252,98.63013699,1.369863014,0.013888889,0
257,98.63945578,1.360544218,0.013793103,0
251,98.63945578,1.360544218,0.013793103,0
253,98.63945578,1.360544218,0.013793103,0
253,98.63945578,1.360544218,0.013793103,0
254,98.64864865,1.351351351,0.01369863,0
258,98.64864865,1.351351351,0.01369863,0
256,98.64864865,1.351351351,0.01369863,0
255,98.65771812,1.342281879,0.013605442,0
251,98.65771812,1.342281879,0.013605442,0
253,98.65771812,1.342281879,0.013605442,0
